molecule_chembl_id,target_chembl_id,target_pref_name,pchembl_value,standard_type,standard_relation,assay_type,assay_description,document_chembl_id,herb,compound_query,target_type,target_gene_symbol,all_component_genes,evidence_type,evidence_tier
CHEMBL514882,CHEMBL1287622,Lethal(3)malignant brain tumor-like protein 1,7.2,Potency,=,F,PUBCHEM_BIOASSAY: qHTS Assay for the Inhibitors of L3MBTL1. (Class of assay: confirmatory) [Related pubchem assays: 4852,CHEMBL1201862,杜仲,aucubin,SINGLE PROTEIN,L3MBTL1,L3MBTL1,experimental_ChEMBL_single_protein,T3_experimental_functional
CHEMBL284616,CHEMBL1900,Aldo-keto reductase family 1 member B1,6.52,IC50,=,B,Inhibition of human recombinant N-terminus His6-tagged AKR1B1 expressed in Escherichia coli BL21 DE3 assessed as pyridin,CHEMBL1938354,杜仲,chlorogenic acid,SINGLE PROTEIN,AKR1B1,AKR1B1,experimental_ChEMBL_single_protein,T2_experimental_binding
CHEMBL284616,CHEMBL5983,Aldo-keto reductase family 1 member B10,5.1,IC50,=,B,Inhibition of human recombinant N-terminus His6-tagged AKR1B10 expressed in Escherichia coli BL21 DE3 assessed as pyridi,CHEMBL1938354,杜仲,chlorogenic acid,SINGLE PROTEIN,AKR1B10,AKR1B10,experimental_ChEMBL_single_protein,T4_experimental_moderate
CHEMBL284616,CHEMBL1900,Aldo-keto reductase family 1 member B1,5.75,IC50,=,B,Inhibition of human recombinant aldose reductase using D-glyceraldehyde as substrate preincubated for 10 mins before sub,CHEMBL1938238,杜仲,chlorogenic acid,SINGLE PROTEIN,AKR1B1,AKR1B1,experimental_ChEMBL_single_protein,T4_experimental_moderate
CHEMBL284616,CHEMBL335,Tyrosine-protein phosphatase non-receptor type 1,7.0,IC50,=,B,Inhibition of PTP1B (unknown origin),CHEMBL4811318,杜仲,chlorogenic acid,SINGLE PROTEIN,PTPN1,PTPN1,experimental_ChEMBL_single_protein,T2_experimental_binding
CHEMBL284616,CHEMBL1900,Aldo-keto reductase family 1 member B1,5.09,IC50,=,B,Inhibition of recombinant human AKR1B1 incubated for 60 mins by colorimetric assay,CHEMBL6083246,杜仲,chlorogenic acid,SINGLE PROTEIN,AKR1B1,AKR1B1,experimental_ChEMBL_single_protein,T4_experimental_moderate
CHEMBL168,CHEMBL335,Tyrosine-protein phosphatase non-receptor type 1,5.41,IC50,=,B,Inhibition of human recombinant PTP1B,CHEMBL1147808,牛膝,oleanolic acid,SINGLE PROTEIN,PTPN1,PTPN1,experimental_ChEMBL_single_protein,T4_experimental_moderate
CHEMBL168,CHEMBL2392,DNA polymerase beta,5.06,IC50,=,B,Inhibition of DNA polymerase beta lyase activity,CHEMBL1151225,牛膝,oleanolic acid,SINGLE PROTEIN,POLB,POLB,experimental_ChEMBL_single_protein,T4_experimental_moderate
CHEMBL168,CHEMBL335,Tyrosine-protein phosphatase non-receptor type 1,5.12,IC50,=,B,Inhibition of human recombinant PTP1B after 30 mins,CHEMBL1140124,牛膝,oleanolic acid,SINGLE PROTEIN,PTPN1,PTPN1,experimental_ChEMBL_single_protein,T4_experimental_moderate
CHEMBL168,CHEMBL2392,DNA polymerase beta,5.06,IC50,=,B,Inhibition of DNA polymerase beta lyase activity by deoxyribose phosphate excision assay,CHEMBL1147248,牛膝,oleanolic acid,SINGLE PROTEIN,POLB,POLB,experimental_ChEMBL_single_protein,T4_experimental_moderate
CHEMBL168,CHEMBL335,Tyrosine-protein phosphatase non-receptor type 1,5.47,IC50,=,B,Inhibition of PTP1B by pNPP assay,CHEMBL1151785,牛膝,oleanolic acid,SINGLE PROTEIN,PTPN1,PTPN1,experimental_ChEMBL_single_protein,T4_experimental_moderate
CHEMBL168,CHEMBL3807,Tyrosine-protein phosphatase non-receptor type 2,5.47,IC50,=,B,Inhibition of TCPTP by pNPP assay,CHEMBL1151785,牛膝,oleanolic acid,SINGLE PROTEIN,PTPN2,PTPN2,experimental_ChEMBL_single_protein,T4_experimental_moderate
CHEMBL168,CHEMBL5409,G-protein coupled bile acid receptor 1,5.65,EC50,=,F,Agonist activity at TGR5 expressed in CHO cells by CRE-driven luciferase reporter gene assay,CHEMBL1156761,牛膝,oleanolic acid,SINGLE PROTEIN,GPBAR1,GPBAR1,experimental_ChEMBL_single_protein,T4_experimental_moderate
