target_gene_symbol,herbs,n_activities,n_documents,n_assay_types,median_pchembl,max_pchembl,standard_types,best_evidence_tier
ABCB1,骨碎补,1,1,1,5.17,5.17,Kd,T4_experimental_moderate
ABCC1,骨碎补,2,2,2,5.62,5.62,Ki,T4_experimental_moderate
ABCG2,骨碎补,2,1,1,5.27,5.33,IC50,T4_experimental_moderate
AHR,骨碎补,1,1,1,7.55,7.55,IC50,T2_experimental_binding
AKR1B1,杜仲;骨碎补,4,3,1,5.42,6.52,IC50,T2_experimental_binding
AKR1B10,杜仲;牛膝,9,3,1,6.05,7.14,IC50;Ki,T1_experimental_high_affinity_binding
ALOX15,骨碎补,2,1,1,5.05,5.1,Potency,T4_experimental_moderate
ALOX5,骨碎补,1,1,1,5.57,5.57,IC50,T4_experimental_moderate
AR,骨碎补,1,1,1,5.01,5.01,IC50,T4_experimental_moderate
CA12,骨碎补,2,1,1,7.175,7.51,Ki,T1_experimental_high_affinity_binding
CA2,骨碎补,1,1,1,5.02,5.02,Ki,T4_experimental_moderate
CA4,骨碎补,1,1,1,7.14,7.14,Ki,T1_experimental_high_affinity_binding
CA7,骨碎补,2,1,1,7.984999999999999,8.37,Ki,T1_experimental_high_affinity_binding
CDC25B,牛膝,1,1,1,6.01,6.01,IC50,T2_experimental_binding
CES1,牛膝,1,1,1,7.0,7.0,IC50,T2_experimental_binding
CISD1,骨碎补,2,1,1,6.195,6.88,IC50;Ki,T2_experimental_binding
CTDSP1,骨碎补,1,1,1,5.0,5.0,IC50,T4_experimental_moderate
CYP1A1,骨碎补,2,2,1,6.16,6.2,IC50;Ki,T2_experimental_binding
CYP1A2,骨碎补,2,2,2,6.619999999999999,7.1,AC50;IC50,T2_experimental_binding
CYP1B1,骨碎补,3,2,2,7.33,7.37,IC50;Ki,T1_experimental_high_affinity_binding
CYP2C19,骨碎补,3,1,2,5.2,5.2,AC50;Potency,T4_experimental_moderate
CYP2C9,骨碎补,3,2,2,8.89,8.9,AC50;Ki;Potency,T3_experimental_functional
CYP2D6,骨碎补,2,1,2,5.0,5.0,AC50;Potency,T4_experimental_moderate
CYP3A4,骨碎补,2,1,2,5.1,5.1,AC50;Potency,T4_experimental_moderate
DAPK1,骨碎补,1,1,1,5.0,5.0,IC50,T4_experimental_moderate
DPP4,骨碎补,2,2,1,5.744999999999999,6.31,IC50,T2_experimental_binding
DUSP3,牛膝,1,1,1,5.27,5.27,IC50,T4_experimental_moderate
ESRRA,骨碎补,1,1,1,5.02,5.02,IC50,T4_experimental_moderate
F3,牛膝,1,1,1,8.3,8.3,IC50,T2_experimental_binding
FLT3,骨碎补,1,1,1,5.63,5.63,IC50,T4_experimental_moderate
FTO,骨碎补,3,1,1,5.49,5.55,IC50;Kd,T4_experimental_moderate
FUNDC1,牛膝,1,1,1,7.14,7.14,Ki,T1_experimental_high_affinity_binding
GPBAR1,牛膝,2,2,1,5.65,5.65,EC50,T4_experimental_moderate
HDAC6,骨碎补,1,1,1,5.77,5.77,IC50,T4_experimental_moderate
HIF1A,骨碎补,1,1,1,5.8,5.8,Potency,T4_experimental_moderate
HSD17B1,骨碎补,1,1,1,5.98,5.98,IC50,T4_experimental_moderate
HSD17B2,骨碎补,2,2,1,6.44,6.44,IC50,T2_experimental_binding
IP6K2,骨碎补,1,1,1,5.6,5.6,IC50,T4_experimental_moderate
IPMK,骨碎补,1,1,1,5.36,5.36,IC50,T4_experimental_moderate
L3MBTL1,杜仲,1,1,1,7.2,7.2,Potency,T3_experimental_functional
LMNA,骨碎补,1,1,1,5.45,5.45,Potency,T4_experimental_moderate
MPO,骨碎补,1,1,1,5.65,5.65,IC50,T4_experimental_moderate
NOX4,骨碎补,1,1,1,5.92,5.92,IC50,T4_experimental_moderate
PKM,骨碎补,2,2,1,6.19,6.19,IC50,T2_experimental_binding
PLA2G1B,牛膝,1,1,1,5.52,5.52,IC50,T4_experimental_moderate
POLB,牛膝,3,3,1,5.06,5.52,IC50,T4_experimental_moderate
PTPN1,杜仲;牛膝,50,47,1,5.58,7.0,IC50;Ki,T2_experimental_binding
PTPN2,牛膝,15,15,2,5.3,6.16,IC50,T2_experimental_binding
PTPRC,牛膝,1,1,1,6.0,6.0,IC50,T2_experimental_binding
RELA,牛膝,1,1,1,5.62,5.62,IC50,T4_experimental_moderate
RPS6KA3,骨碎补,2,1,1,5.545,5.77,IC50,T4_experimental_moderate
SLC2A1,骨碎补,1,1,1,5.4,5.4,IC50,T4_experimental_moderate
TDP1,骨碎补,1,1,1,5.7,5.7,Potency,T4_experimental_moderate
TP53,骨碎补,4,1,1,5.199999999999999,5.4,Potency,T4_experimental_moderate
TRPC5,骨碎补,1,1,1,5.41,5.41,IC50,T4_experimental_moderate
TYR,骨碎补,1,1,1,6.0,6.0,IC50,T2_experimental_binding
XDH,骨碎补,1,1,1,5.97,5.97,IC50,T4_experimental_moderate
YES1,骨碎补,1,1,1,5.17,5.17,Ki,T4_experimental_moderate
