module,size,support_n,support_rate,expected_n,lift_vs_independence,perm_p,co_occurs_at_all,fdr
杜仲–牛膝,2,19,0.021839080459770115,2.2689655172413796,8.37386018237082,0.000999000999000999,True,0.0036630036630036634
牛膝–续断,2,9,0.010344827586206896,0.9724137931034483,9.25531914893617,0.000999000999000999,True,0.0036630036630036634
杜仲–骨碎补,2,6,0.006896551724137931,1.882758620689655,3.186813186813187,0.002997002997002997,True,0.004709576138147567
牛膝–骨碎补,2,6,0.006896551724137931,2.1068965517241383,2.847790507364975,0.01098901098901099,True,0.01510989010989011
杜仲–续断,2,5,0.005747126436781609,0.8689655172413793,5.753968253968254,0.001998001998001998,True,0.004395604395604396
续断–骨碎补,2,5,0.005747126436781609,0.8068965517241379,6.196581196581197,0.002997002997002997,True,0.004709576138147567
杜仲–牛膝–续断,3,4,0.004597701149425287,0.04694411414982164,85.20770010131712,0.000999000999000999,True,0.0036630036630036634
杜仲–牛膝–骨碎补,3,3,0.0034482758620689655,0.10171224732461356,29.494973111994387,0.001998001998001998,True,0.004395604395604396
杜仲–续断–骨碎补,3,0,0.0,0.038953626634958376,0.0,1.0,False,1.0
牛膝–续断–骨碎补,3,0,0.0,0.043590963139120094,0.0,1.0,False,1.0
杜仲–牛膝–续断–骨碎补,4,0,0.0,0.002104391323957522,0.0,1.0,False,1.0
