target,herbs,max_pchembl,open_targets_score,reference_marker_overlap,gse224152_pct_cells_detected,gse246769_delta_d9_vs_d0,evidence_count,causal_evidence_grade,estimated_pharmacology_direction,fine_mapping_coloc_mr_status
HIF1A,骨碎补,5.8,0.0857341815852602,True,0.0383963862224731,-2.226134858383229,4,A_candidate_requires_coloc_MR_confirmation,activate_candidate,not_run_requires_full_sumstats_QTL
AR,骨碎补,5.01,0.4893552325317156,False,0.0,0.0080572607660855,1,B_multi_omics_partial_support,direction_uncertain,not_run_requires_full_sumstats_QTL
DPP4,骨碎补,6.31,0.2697023872895011,False,0.0,9.002635834971983,3,B_multi_omics_partial_support,inhibit_candidate,not_run_requires_full_sumstats_QTL
TP53,骨碎补,5.4,0.0852182899844695,False,0.0897797854319593,0.9632510391962832,2,B_multi_omics_partial_support,activate_candidate,not_run_requires_full_sumstats_QTL
FUNDC1,牛膝,7.14,0.0,False,0.0513833992094861,1.457446761262951,3,B_multi_omics_partial_support,inhibit_candidate,not_run_requires_full_sumstats_QTL
CISD1,骨碎补,6.88,0.0,False,0.0728402032749858,3.089897013522688,3,B_multi_omics_partial_support,inhibit_candidate,not_run_requires_full_sumstats_QTL
AKR1B1,杜仲;续断;骨碎补,6.52,0.0,False,0.0350084697910784,1.5873103343836812,3,B_multi_omics_partial_support,inhibit_candidate,not_run_requires_full_sumstats_QTL
PKM,骨碎补,6.19,0.0,False,0.0406549971767363,1.7800459857768145,3,B_multi_omics_partial_support,inhibit_candidate,not_run_requires_full_sumstats_QTL
PTPN2,牛膝,6.16,0.0,False,0.0615471485036702,-1.2539723075405718,3,B_multi_omics_partial_support,activate_candidate,not_run_requires_full_sumstats_QTL
SLC2A1,骨碎补,5.4,0.0,True,0.0728402032749858,1.053985468816462,3,B_multi_omics_partial_support,inhibit_candidate,not_run_requires_full_sumstats_QTL
CA2,骨碎补,5.02,0.0,True,0.3229813664596273,5.418276968615646,3,B_multi_omics_partial_support,inhibit_candidate,not_run_requires_full_sumstats_QTL
F3,牛膝,8.3,0.0,False,0.0016939582156973,3.318722185827475,2,C_pharmacology_only_or_weak_omics,inhibit_candidate,not_run_requires_full_sumstats_QTL
AHR,骨碎补,7.55,0.0,False,0.0056465273856578,-2.80971657945999,2,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
CYP1B1,骨碎补,7.37,0.0,False,0.0112930547713156,0.6272464052991964,2,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
CES1,牛膝,7.0,0.0,False,0.0016939582156973,-4.318619984493736,2,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
PTPN1,杜仲;牛膝;续断,7.0,0.0,False,0.0282326369282891,0.2840816423919996,2,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
HDAC1,杜仲;续断,6.87,0.0,False,0.0914737436476566,0.3399643230842342,2,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
CSNK2B,骨碎补,6.68,0.0,False,0.2631281761716544,0.0,2,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
CYP1A1,骨碎补,6.2,0.0,False,0.0,-1.8162531012153489,2,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
CDC25B,牛膝,6.01,0.0,False,0.0112930547713156,0.5519333498904153,2,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
PTPRC,牛膝,6.0,0.0,False,0.0208921513269339,-0.6810932479259826,2,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
MPO,骨碎补,5.65,0.0,False,0.0107284020327498,-1.20891821518985,2,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
RELA,牛膝,5.62,0.0,False,0.0220214568040655,-1.6033271410738106,2,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
FTO,骨碎补,5.55,0.0,False,0.0197628458498023,2.464488960361858,2,C_pharmacology_only_or_weak_omics,inhibit_candidate,not_run_requires_full_sumstats_QTL
CTDSP1,骨碎补,5.0,0.0,False,0.0282326369282891,-1.4692425010585932,2,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
CYP2C9,骨碎补,8.9,0.0,False,0.0,0.0077746137093116,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
CA7,骨碎补,8.37,0.0,False,0.0,0.0790400554239764,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
CA12,骨碎补,7.51,0.0,False,0.0,0.0838440234150875,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
L3MBTL1,杜仲,7.2,0.0,False,0.0033879164313946,0.1018822149891014,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
AKR1B10,杜仲;牛膝;续断,7.14,0.0,False,0.0,0.2216735160325491,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
CA4,骨碎补,7.14,0.0,False,0.0,-0.585693749779225,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
CYP1A2,骨碎补,7.1,0.0,False,0.0,-0.0336149304169038,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
HSD17B2,骨碎补,6.44,0.0,False,0.0,-0.0228797748172942,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
TYR,骨碎补,6.0,0.0,False,0.0,0.0220965434883629,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
HDAC6,骨碎补,5.77,0.0,False,0.0169395821569734,-0.09081326972988,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
RPS6KA3,骨碎补,5.77,0.0,False,0.0237154150197628,0.5376931344388156,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
TDP1,骨碎补,5.7,0.0,False,0.0152456239412761,0.5948335617077167,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
GPBAR1,牛膝,5.65,0.0,False,0.0,-2.1401762909558544,1,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
FLT3,骨碎补,5.63,0.0,False,0.0011293054771315,-1.9959313518239867,1,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
IP6K2,骨碎补,5.6,0.0,False,0.1027667984189723,-0.8592076062534826,1,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
ALOX5,骨碎补,5.57,0.0,False,0.0022586109542631,-2.456426425436244,1,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
PSMB2,牛膝,5.57,0.0,False,0.2569169960474308,0.4794389351921033,1,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
POLB,牛膝,5.52,0.0,False,0.0208921513269339,-0.1166461920920425,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
GSK3A,骨碎补,5.46,0.0,False,0.0146809712027103,-0.5576784212534829,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
LMNA,骨碎补,5.45,0.0,False,0.277244494635799,-0.3071317431962068,1,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
IPMK,骨碎补,5.36,0.0,False,0.0084697910784867,-1.390391884221517,1,C_pharmacology_only_or_weak_omics,activate_candidate,not_run_requires_full_sumstats_QTL
ABCG2,骨碎补,5.33,0.0,False,0.0062111801242236,1.715774128802108,1,C_pharmacology_only_or_weak_omics,inhibit_candidate,not_run_requires_full_sumstats_QTL
DUSP3,牛膝,5.27,0.0,False,0.010163749294184,0.4713451805118538,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
YES1,骨碎补,5.17,0.0,False,0.0135516657255787,0.0617696167848781,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
ESRRA,骨碎补,5.02,0.0,False,0.0112930547713156,0.6223111377928028,1,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
HSD17B1,骨碎补,5.98,0.0,False,0.0073404856013551,0.666892588154608,0,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
XDH,骨碎补,5.97,0.0,False,0.0,0.5245195928290035,0,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
NOX4,骨碎补,5.92,0.0,False,0.0,0.0,0,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
ABCC1,骨碎补,5.62,0.0,False,0.0039525691699604,0.0,0,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
PLA2G1B,牛膝,5.52,0.0,False,0.0039525691699604,0.0346598197051005,0,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
TRPC5,骨碎补,5.41,0.0,False,0.0,0.0122951521374048,0,C_pharmacology_only_or_weak_omics,direction_uncertain,not_run_requires_full_sumstats_QTL
