dataset,gene,cell_type,n_cells,mean_lognorm,pct_detected,status
GSE224152,ABCB1,MSC_stromal,122,0.0,0.0,ok
GSE224152,ABCB1,endothelial,47,0.04777841806446043,0.02127659574468085,ok
GSE224152,ABCB1,pericyte_mural,66,0.0,0.0,ok
GSE224152,ABCB1,osteo_lineage,52,0.03485524798545711,0.019230769230769232,ok
GSE224152,ABCB1,immune,118,0.011942257220059717,0.00847457627118644,ok
GSE224152,ABCB1,unassigned,1361,0.0,0.0,ok
GSE224152,ABCB1,ALL,1766,0.003095835162084064,0.0016987542468856172,ok
GSE224152,ABCC1,MSC_stromal,122,0.007907654691017691,0.01639344262295082,ok
GSE224152,ABCC1,endothelial,47,0.0,0.0,ok
GSE224152,ABCC1,pericyte_mural,66,0.0,0.0,ok
GSE224152,ABCC1,osteo_lineage,52,0.0,0.0,ok
GSE224152,ABCC1,immune,118,0.005427584244275284,0.00847457627118644,ok
GSE224152,ABCC1,unassigned,1361,0.0038899155024857608,0.0029390154298310064,ok
GSE224152,ABCC1,ALL,1766,0.003906774525487974,0.003963759909399773,ok
GSE224152,ABCG2,MSC_stromal,122,0.004180875225589769,0.00819672131147541,ok
GSE224152,ABCG2,endothelial,47,0.0,0.0,ok
GSE224152,ABCG2,pericyte_mural,66,0.019691984778601457,0.015151515151515152,ok
GSE224152,ABCG2,osteo_lineage,52,0.0,0.0,ok
GSE224152,ABCG2,immune,118,0.0,0.0,ok
GSE224152,ABCG2,unassigned,1361,0.009376000429499537,0.006612784717119765,ok
GSE224152,ABCG2,ALL,1766,0.008250551731290214,0.00622876557191393,ok
GSE224152,AHR,MSC_stromal,122,0.0,0.0,ok
GSE224152,AHR,endothelial,47,0.0707482597282326,0.0425531914893617,ok
GSE224152,AHR,pericyte_mural,66,0.07937705123292153,0.030303030303030304,ok
GSE224152,AHR,osteo_lineage,52,0.0,0.0,ok
GSE224152,AHR,immune,118,0.019052822921227872,0.00847457627118644,ok
GSE224152,AHR,unassigned,1361,0.00635844506341642,0.0036737692872887582,ok
GSE224152,AHR,ALL,1766,0.011022723909747673,0.0056625141562853904,ok
GSE224152,AKR1B1,MSC_stromal,122,0.03223862436741627,0.03278688524590164,ok
GSE224152,AKR1B1,endothelial,47,0.04117472076416636,0.0425531914893617,ok
GSE224152,AKR1B1,pericyte_mural,66,0.05628791287807503,0.045454545454545456,ok
GSE224152,AKR1B1,osteo_lineage,52,0.017217433432877304,0.019230769230769232,ok
GSE224152,AKR1B1,immune,118,0.14092871846583743,0.11016949152542373,ok
GSE224152,AKR1B1,unassigned,1361,0.043847375203068605,0.028655400440852314,ok
GSE224152,AKR1B1,ALL,1766,0.04914184556486317,0.035107587768969425,ok
GSE224152,AKR1B10,ALL,1766,,,not_mapped_in_matrix
GSE224152,ALOX15,ALL,1766,,,not_mapped_in_matrix
GSE224152,ALOX5,MSC_stromal,122,0.0,0.0,ok
GSE224152,ALOX5,endothelial,47,0.0,0.0,ok
GSE224152,ALOX5,pericyte_mural,66,0.0,0.0,ok
GSE224152,ALOX5,osteo_lineage,52,0.0,0.0,ok
GSE224152,ALOX5,immune,118,0.018428492700082344,0.01694915254237288,ok
GSE224152,ALOX5,unassigned,1361,0.002607718937348385,0.0014695077149155032,ok
GSE224152,ALOX5,ALL,1766,0.003241034888075237,0.0022650056625141564,ok
GSE224152,AR,ALL,1766,,,not_mapped_in_matrix
GSE224152,CA12,ALL,1766,,,not_mapped_in_matrix
GSE224152,CA2,MSC_stromal,122,0.8728129015875533,0.6147540983606558,ok
GSE224152,CA2,endothelial,47,0.17451964352748917,0.1702127659574468,ok
GSE224152,CA2,pericyte_mural,66,0.34277579389040214,0.25757575757575757,ok
GSE224152,CA2,osteo_lineage,52,0.6662162463050899,0.5384615384615384,ok
GSE224152,CA2,immune,118,0.3116837936439898,0.211864406779661,ok
GSE224152,CA2,unassigned,1361,0.6559519831691725,0.30786186627479795,ok
GSE224152,CA2,ALL,1766,0.6237153913858093,0.32389580973952437,ok
GSE224152,CA4,ALL,1766,,,not_mapped_in_matrix
GSE224152,CA7,ALL,1766,,,not_mapped_in_matrix
GSE224152,CDC25B,MSC_stromal,122,0.009991977193353834,0.01639344262295082,ok
GSE224152,CDC25B,endothelial,47,0.13721066691796588,0.0851063829787234,ok
GSE224152,CDC25B,pericyte_mural,66,0.0,0.0,ok
GSE224152,CDC25B,osteo_lineage,52,0.018033767904291793,0.019230769230769232,ok
GSE224152,CDC25B,immune,118,0.00576871615959462,0.00847457627118644,ok
GSE224152,CDC25B,unassigned,1361,0.010898187696566,0.00881704628949302,ok
GSE224152,CDC25B,ALL,1766,0.01365731622628269,0.011325028312570781,ok
GSE224152,CES1,MSC_stromal,122,0.04123634486730864,0.01639344262295082,ok
GSE224152,CES1,endothelial,47,0.0,0.0,ok
GSE224152,CES1,pericyte_mural,66,0.0,0.0,ok
GSE224152,CES1,osteo_lineage,52,0.0,0.0,ok
GSE224152,CES1,immune,118,0.0,0.0,ok
GSE224152,CES1,unassigned,1361,0.001494905639142598,0.0007347538574577516,ok
GSE224152,CES1,ALL,1766,0.004000793119300526,0.0016987542468856172,ok
GSE224152,CISD1,MSC_stromal,122,0.0984437770292119,0.13114754098360656,ok
GSE224152,CISD1,endothelial,47,0.05612896384375853,0.06382978723404255,ok
GSE224152,CISD1,pericyte_mural,66,0.20491580718463742,0.19696969696969696,ok
GSE224152,CISD1,osteo_lineage,52,0.13806451841486433,0.17307692307692307,ok
GSE224152,CISD1,immune,118,0.04769755813651485,0.059322033898305086,ok
GSE224152,CISD1,unassigned,1361,0.08093992623737536,0.05951506245407789,ok
GSE224152,CISD1,ALL,1766,0.08558298516373508,0.07304643261608154,ok
GSE224152,CTDSP1,MSC_stromal,122,0.050857923698164186,0.07377049180327869,ok
GSE224152,CTDSP1,endothelial,47,0.08672328674964086,0.06382978723404255,ok
GSE224152,CTDSP1,pericyte_mural,66,0.06708649031993548,0.030303030303030304,ok
GSE224152,CTDSP1,osteo_lineage,52,0.12362885722680941,0.09615384615384616,ok
GSE224152,CTDSP1,immune,118,0.035698788545820655,0.025423728813559324,ok
GSE224152,CTDSP1,unassigned,1361,0.02776517088391393,0.020573108008817047,ok
GSE224152,CTDSP1,ALL,1766,0.03575193925636051,0.028312570781426953,ok
GSE224152,CYP1A1,ALL,1766,,,not_mapped_in_matrix
GSE224152,CYP1A2,ALL,1766,,,not_mapped_in_matrix
GSE224152,CYP1B1,MSC_stromal,122,0.22983507075373255,0.08196721311475409,ok
GSE224152,CYP1B1,endothelial,47,0.0,0.0,ok
GSE224152,CYP1B1,pericyte_mural,66,0.034466713176976874,0.015151515151515152,ok
GSE224152,CYP1B1,osteo_lineage,52,0.22640779822413792,0.07692307692307693,ok
GSE224152,CYP1B1,immune,118,0.02408724453999364,0.00847457627118644,ok
GSE224152,CYP1B1,unassigned,1361,0.004515410706020015,0.0029390154298310064,ok
GSE224152,CYP1B1,ALL,1766,0.028921662534486695,0.011325028312570781,ok
GSE224152,CYP2C19,ALL,1766,,,not_mapped_in_matrix
GSE224152,CYP2C9,ALL,1766,,,not_mapped_in_matrix
GSE224152,CYP2D6,ALL,1766,,,not_mapped_in_matrix
GSE224152,CYP3A4,ALL,1766,,,not_mapped_in_matrix
GSE224152,DAPK1,MSC_stromal,122,0.0,0.0,ok
GSE224152,DAPK1,endothelial,47,0.0,0.0,ok
GSE224152,DAPK1,pericyte_mural,66,0.007470443970035481,0.015151515151515152,ok
GSE224152,DAPK1,osteo_lineage,52,0.0,0.0,ok
GSE224152,DAPK1,immune,118,0.005427584244275284,0.00847457627118644,ok
GSE224152,DAPK1,unassigned,1361,0.009833559846612987,0.005143277002204262,ok
GSE224152,DAPK1,ALL,1766,0.00822026001930187,0.005096262740656852,ok
GSE224152,DPP4,ALL,1766,,,not_mapped_in_matrix
GSE224152,DUSP3,MSC_stromal,122,0.0044561507866836296,0.00819672131147541,ok
GSE224152,DUSP3,endothelial,47,0.0065788840695408055,0.02127659574468085,ok
GSE224152,DUSP3,pericyte_mural,66,0.03586072396899534,0.030303030303030304,ok
GSE224152,DUSP3,osteo_lineage,52,0.0390940324314993,0.038461538461538464,ok
GSE224152,DUSP3,immune,118,0.05004522512139601,0.0423728813559322,ok
GSE224152,DUSP3,unassigned,1361,0.005162213746964504,0.005143277002204262,ok
GSE224152,DUSP3,ALL,1766,0.010296525985039013,0.010192525481313703,ok
GSE224152,ESRRA,MSC_stromal,122,0.009478452695090324,0.01639344262295082,ok
GSE224152,ESRRA,endothelial,47,0.06583743835543633,0.0425531914893617,ok
GSE224152,ESRRA,pericyte_mural,66,0.07326259974040933,0.045454545454545456,ok
GSE224152,ESRRA,osteo_lineage,52,0.009001975763484516,0.019230769230769232,ok
GSE224152,ESRRA,immune,118,0.013480347983830392,0.01694915254237288,ok
GSE224152,ESRRA,unassigned,1361,0.006518145985654353,0.0073475385745775165,ok
GSE224152,ESRRA,ALL,1766,0.011334112628902776,0.011325028312570781,ok
GSE224152,F3,MSC_stromal,122,0.0,0.0,ok
GSE224152,F3,endothelial,47,0.0,0.0,ok
GSE224152,F3,pericyte_mural,66,0.0,0.0,ok
GSE224152,F3,osteo_lineage,52,0.0,0.0,ok
