dataset,gene,donor,n_cells,mean_lognorm,pct_detected
GSE224152,ABCB1,0,269,0.0,0.0
GSE224152,ABCB1,1,823,0.002728536633085833,0.001215066828675577
GSE224152,ABCB1,2,119,0.011841902117370138,0.008403361344537815
GSE224152,ABCB1,3,96,0.0188799259921226,0.010416666666666666
GSE224152,ABCB1,4,459,0.0,0.0
GSE224152,ABCC1,0,269,0.0023808733859646226,0.0037174721189591076
GSE224152,ABCC1,1,823,0.005246395407357596,0.006075334143377886
GSE224152,ABCC1,2,119,0.01631197857926031,0.008403361344537815
GSE224152,ABCC1,3,96,0.0,0.0
GSE224152,ABCC1,4,459,0.0,0.0
GSE224152,ABCG2,0,269,0.0028069808291989943,0.0037174721189591076
GSE224152,ABCG2,1,823,0.009021023781522267,0.006075334143377886
GSE224152,ABCG2,2,119,0.022058533272689477,0.008403361344537815
GSE224152,ABCG2,3,96,0.0,0.0
GSE224152,ABCG2,4,459,0.008205072947191971,0.008714596949891068
GSE224152,AHR,0,269,0.0,0.0
GSE224152,AHR,1,823,0.007786188197956219,0.004860267314702308
GSE224152,AHR,2,119,0.037402056456067055,0.01680672268907563
GSE224152,AHR,3,96,0.03463716882528054,0.020833333333333332
GSE224152,AHR,4,459,0.01150780961263074,0.004357298474945534
GSE224152,AKR1B1,0,269,0.10067488125542437,0.07063197026022305
GSE224152,AKR1B1,1,823,0.03669693139263349,0.030376670716889428
GSE224152,AKR1B1,2,119,0.04475032550921453,0.025210084033613446
GSE224152,AKR1B1,3,96,0.058090395991608736,0.03125
GSE224152,AKR1B1,4,459,0.04052160113923937,0.026143790849673203
GSE224152,ALOX5,0,269,0.0030702747002917374,0.0037174721189591076
GSE224152,ALOX5,1,823,0.0019575210632848524,0.001215066828675577
GSE224152,ALOX5,2,119,0.011333262556565036,0.008403361344537815
GSE224152,ALOX5,3,96,0.0,0.0
GSE224152,ALOX5,4,459,0.004222365225812022,0.002178649237472767
GSE224152,CA2,0,269,1.1043341517739227,0.45724907063197023
GSE224152,CA2,1,823,0.6472255008335696,0.39611178614823817
GSE224152,CA2,2,119,0.9435750029477914,0.3277310924369748
GSE224152,CA2,3,96,0.25426034114334667,0.09375
GSE224152,CA2,4,459,0.29423635963742484,0.16339869281045752
GSE224152,CDC25B,0,269,0.01416435031124148,0.01486988847583643
GSE224152,CDC25B,1,823,0.007951515737575666,0.00850546780072904
GSE224152,CDC25B,2,119,0.09426740858436572,0.04201680672268908
GSE224152,CDC25B,3,96,0.0032209119923793527,0.010416666666666666
GSE224152,CDC25B,4,459,0.004874691932589451,0.006535947712418301
GSE224152,CES1,0,269,0.0,0.0
GSE224152,CES1,1,823,0.006112799603659361,0.002430133657351154
GSE224152,CES1,2,119,0.017097198108177107,0.008403361344537815
GSE224152,CES1,3,96,0.0,0.0
GSE224152,CES1,4,459,0.0,0.0
GSE224152,CISD1,0,269,0.09668003949016457,0.055762081784386616
GSE224152,CISD1,1,823,0.10392424769105166,0.10449574726609964
GSE224152,CISD1,2,119,0.004130940617844499,0.008403361344537815
GSE224152,CISD1,3,96,0.06020451155441423,0.03125
GSE224152,CISD1,4,459,0.07261819233947515,0.05228758169934641
GSE224152,CTDSP1,0,269,0.03183439570555327,0.022304832713754646
GSE224152,CTDSP1,1,823,0.04653820748274369,0.041312272174969626
GSE224152,CTDSP1,2,119,0.040045929305165505,0.01680672268907563
GSE224152,CTDSP1,3,96,0.0,0.0
GSE224152,CTDSP1,4,459,0.025072030362366216,0.017429193899782137
GSE224152,CYP1B1,0,269,0.0,0.0
GSE224152,CYP1B1,1,823,0.05087194147046357,0.020656136087484813
GSE224152,CYP1B1,2,119,0.02388483072032983,0.008403361344537815
GSE224152,CYP1B1,3,96,0.03433464373529427,0.010416666666666666
GSE224152,CYP1B1,4,459,0.0066876417241927945,0.002178649237472767
GSE224152,DAPK1,0,269,0.017440325905671003,0.011152416356877323
GSE224152,DAPK1,1,823,0.003162217394132908,0.002430133657351154
GSE224152,DAPK1,2,119,0.0,0.0
GSE224152,DAPK1,3,96,0.0,0.0
GSE224152,DAPK1,4,459,0.015736441416318556,0.008714596949891068
GSE224152,DUSP3,0,269,0.017868236595431408,0.011152416356877323
GSE224152,DUSP3,1,823,0.009048970948081653,0.012150668286755772
GSE224152,DUSP3,2,119,0.010877772875173821,0.008403361344537815
GSE224152,DUSP3,3,96,0.043996697867293544,0.03125
GSE224152,DUSP3,4,459,0.000896880583291464,0.002178649237472767
GSE224152,ESRRA,0,269,0.0017600906682038705,0.0037174721189591076
GSE224152,ESRRA,1,823,0.01321250969225478,0.013365735115431349
GSE224152,ESRRA,2,119,0.0,0.0
GSE224152,ESRRA,3,96,0.016914347842285574,0.010416666666666666
GSE224152,ESRRA,4,459,0.015348378307865703,0.015250544662309368
GSE224152,F3,0,269,0.0,0.0
GSE224152,F3,1,823,0.0,0.0
GSE224152,F3,2,119,0.0,0.0
GSE224152,F3,3,96,0.0,0.0
GSE224152,F3,4,459,0.013174083819754512,0.006535947712418301
GSE224152,FTO,0,269,0.020834085428399082,0.01858736059479554
GSE224152,FTO,1,823,0.024731189052999213,0.023086269744835967
GSE224152,FTO,2,119,0.08127471098031894,0.04201680672268908
GSE224152,FTO,3,96,0.0,0.0
GSE224152,FTO,4,459,0.010023108312631087,0.013071895424836602
GSE224152,FUNDC1,0,269,0.08412120116808523,0.06691449814126393
GSE224152,FUNDC1,1,823,0.06540383700367892,0.06804374240583232
GSE224152,FUNDC1,2,119,0.0098441375827189,0.008403361344537815
GSE224152,FUNDC1,3,96,0.0,0.0
GSE224152,FUNDC1,4,459,0.04572970538252502,0.034858387799564274
GSE224152,HDAC6,0,269,0.017178977337764165,0.022304832713754646
GSE224152,HDAC6,1,823,0.01920735505565315,0.019441069258809233
GSE224152,HDAC6,2,119,0.023994294654152103,0.008403361344537815
GSE224152,HDAC6,3,96,0.0,0.0
GSE224152,HDAC6,4,459,0.022050427663342725,0.015250544662309368
GSE224152,HIF1A,0,269,0.07913800643347334,0.055762081784386616
GSE224152,HIF1A,1,823,0.0384674593999751,0.031591737545565005
GSE224152,HIF1A,2,119,0.07974335494943297,0.04201680672268908
GSE224152,HIF1A,3,96,0.12980258426828983,0.0625
GSE224152,HIF1A,4,459,0.05563709437807459,0.034858387799564274
GSE224152,HSD17B1,0,269,0.0,0.0
GSE224152,HSD17B1,1,823,0.01643841718598825,0.013365735115431349
GSE224152,HSD17B1,2,119,0.0,0.0
GSE224152,HSD17B1,3,96,0.0,0.0
GSE224152,HSD17B1,4,459,0.014475425712944006,0.004357298474945534
GSE224152,IP6K2,0,269,0.17919733185935763,0.10408921933085502
