stratum,level,records,core_complete_n,core_pair_n,core_any_n,core_any_rate
dynasty,隋唐以前,5,0,0,1,0.2
dynasty,唐,13,0,0,0,0.0
dynasty,宋金元,50,0,0,4,0.08
dynasty,明,311,0,10,30,0.09646302250803858
dynasty,清,325,0,17,42,0.12923076923076923
dynasty,近现代,165,0,9,26,0.15757575757575756
tcm_syndrome,其它-风寒湿痹证,13,0,0,1,0.07692307692307693
tcm_syndrome,删除,111,0,3,9,0.08108108108108109
tcm_syndrome,删除-肝郁气滞证,3,0,0,0,0.0
tcm_syndrome,删除多复合证,15,0,0,0,0.0
tcm_syndrome,删除未明确,1,0,0,1,1.0
tcm_syndrome,删除非辨证文献,11,0,0,0,0.0
tcm_syndrome,肝肾阴虚证,187,0,7,16,0.0855614973262032
tcm_syndrome,肾虚血瘀证,109,0,11,29,0.26605504587155965
tcm_syndrome,肾阳虚证,174,0,7,19,0.10919540229885058
tcm_syndrome,脾肾阳虚,16,0,0,3,0.1875
tcm_syndrome,脾胃虚弱证,65,0,3,7,0.1076923076923077
tcm_syndrome,血瘀气滞证,165,0,5,18,0.10909090909090909
Diagnosis,骨折,207,0,9,22,0.10628019323671498
Diagnosis,骨折；骨断,7,0,0,0,0.0
Diagnosis,骨断,56,0,1,4,0.07142857142857142
Diagnosis,骨极,64,0,2,6,0.09375
Diagnosis,骨极；骨枯,2,0,0,0,0.0
Diagnosis,骨极；骨虚,3,0,0,0,0.0
Diagnosis,骨枯,39,0,3,4,0.10256410256410256
Diagnosis,骨枯；骨空,1,0,0,0,0.0
Diagnosis,骨痹,79,0,3,10,0.12658227848101267
Diagnosis,骨痹；骨折,2,0,0,0,0.0
Diagnosis,骨痿,281,0,17,46,0.16370106761565836
Diagnosis,骨痿；骨极,5,0,0,0,0.0
Diagnosis,骨痿；骨极；骨虚,1,0,0,0,0.0
Diagnosis,骨痿；骨枯,49,0,0,2,0.04081632653061224
Diagnosis,骨痿；骨痹,1,0,0,0,0.0
Diagnosis,骨痿；骨痹；骨虚,1,0,0,0,0.0
Diagnosis,骨痿；骨空,1,0,0,0,0.0
Diagnosis,骨痿；骨虚,1,0,0,0,0.0
Diagnosis,骨空,24,0,0,1,0.041666666666666664
Diagnosis,骨缩,2,0,0,0,0.0
Diagnosis,骨虚,36,0,1,8,0.2222222222222222
Diagnosis,骨蚀,4,0,0,0,0.0
symptom,活动受限,401,0,23,61,0.15211970074812967
symptom,骨痛,250,0,10,34,0.136
symptom,乏力,218,0,16,34,0.1559633027522936
symptom,腰背痛,139,0,9,21,0.1510791366906475
symptom,其他,64,0,1,3,0.046875
symptom,骨折,60,0,3,8,0.13333333333333333
symptom,步态不稳,46,0,6,10,0.21739130434782608
symptom,驼背,12,0,1,2,0.16666666666666666
