target,BMD_GWAS,fracture_GWAS,colocalisation,cis_MR_direction
ACP5,supported,suggestive,template_required,bone_protective_if_up
AKT1,supported,suggestive,template_required,bone_protective_if_up
ALPL,supported,suggestive,template_required,bone_protective_if_up
BGLAP,supported,suggestive,template_required,bone_protective_if_up
BMP2,supported,suggestive,template_required,bone_protective_if_up
COL1A1,supported,suggestive,template_required,bone_protective_if_up
CTSK,supported,suggestive,template_required,bone_protective_if_down
ESR1,supported,suggestive,template_required,bone_protective_if_up
JUN,supported,suggestive,template_required,bone_protective_if_up
LRP5,supported,supported,template_required,bone_protective_if_up
MAPK1,supported,suggestive,template_required,bone_protective_if_up
NFKB1,supported,suggestive,template_required,bone_protective_if_up
RUNX2,supported,supported,template_required,bone_protective_if_up
SMAD1,supported,suggestive,template_required,bone_protective_if_up
SOST,supported,supported,template_required,bone_protective_if_down
SP7,supported,suggestive,template_required,bone_protective_if_up
TNFRSF11B,supported,supported,template_required,bone_protective_if_up
TNFSF11,supported,suggestive,template_required,bone_protective_if_down
VDR,supported,suggestive,template_required,bone_protective_if_up
WNT16,supported,supported,template_required,bone_protective_if_up
