target,herbs,ot_genetic_association,gwas_catalog_bone_gene,has_significant_cis_eqtl,max_pchembl,osteoclast_delta_d9_vs_d0,human_genetics_support,causal_grade,pharmacology_direction_hypothesis
GPBAR1,牛膝,0.0,True,,5.65,-2.1401762909558544,True,B_partial_genetics_or_omics_support,down_in_osteoclastogenesis:activate_or_context_dependent
FTO,骨碎补,0.0,True,,5.55,2.464488960361858,True,B_partial_genetics_or_omics_support,up_in_osteoclastogenesis:inhibit_to_reduce_resorption
LMNA,骨碎补,0.0,True,,5.45,-0.3071317431962068,True,B_partial_genetics_or_omics_support,direction_uncertain_requires_MR_beta
CYP2C9,骨碎补,0.0,False,,8.9,0.0077746137093116,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
CA7,骨碎补,0.0,False,,8.37,0.0790400554239764,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
F3,牛膝,0.0,False,,8.3,3.318722185827475,False,C_pharmacology_or_prediction_only,up_in_osteoclastogenesis:inhibit_to_reduce_resorption
AHR,骨碎补,0.0,False,,7.55,-2.80971657945999,False,C_pharmacology_or_prediction_only,down_in_osteoclastogenesis:activate_or_context_dependent
CA12,骨碎补,0.0,False,,7.51,0.0838440234150875,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
CYP1B1,骨碎补,0.0,False,,7.37,0.6272464052991964,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
L3MBTL1,杜仲,0.0,False,,7.2,0.1018822149891014,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
AKR1B10,杜仲;牛膝;续断,0.0,False,,7.14,0.2216735160325491,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
CA4,骨碎补,0.0,False,,7.14,-0.585693749779225,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
FUNDC1,牛膝,0.0,False,,7.14,1.457446761262951,False,C_pharmacology_or_prediction_only,up_in_osteoclastogenesis:inhibit_to_reduce_resorption
CYP1A2,骨碎补,0.0,False,,7.1,-0.0336149304169038,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
CES1,牛膝,0.0,False,,7.0,-4.318619984493736,False,C_pharmacology_or_prediction_only,down_in_osteoclastogenesis:activate_or_context_dependent
PTPN1,杜仲;牛膝;续断,0.0,False,,7.0,0.2840816423919996,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
CISD1,骨碎补,0.0,False,,6.88,3.089897013522688,False,C_pharmacology_or_prediction_only,up_in_osteoclastogenesis:inhibit_to_reduce_resorption
HDAC1,杜仲;续断,0.0,False,,6.87,0.3399643230842342,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
CSNK2B,骨碎补,0.0,False,,6.68,0.0,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
AKR1B1,杜仲;续断;骨碎补,0.0,False,,6.52,1.5873103343836812,False,C_pharmacology_or_prediction_only,up_in_osteoclastogenesis:inhibit_to_reduce_resorption
HSD17B2,骨碎补,0.0,False,,6.44,-0.0228797748172942,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
DPP4,骨碎补,0.0,False,,6.31,9.002635834971983,False,C_pharmacology_or_prediction_only,up_in_osteoclastogenesis:inhibit_to_reduce_resorption
CYP1A1,骨碎补,0.0,False,,6.2,-1.8162531012153489,False,C_pharmacology_or_prediction_only,down_in_osteoclastogenesis:activate_or_context_dependent
PKM,骨碎补,0.0,False,,6.19,1.7800459857768145,False,C_pharmacology_or_prediction_only,up_in_osteoclastogenesis:inhibit_to_reduce_resorption
PTPN2,牛膝,0.0,False,,6.16,-1.2539723075405718,False,C_pharmacology_or_prediction_only,down_in_osteoclastogenesis:activate_or_context_dependent
CDC25B,牛膝,0.0,False,,6.01,0.5519333498904153,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
PTPRC,牛膝,0.0,False,,6.0,-0.6810932479259826,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
TYR,骨碎补,0.0,False,,6.0,0.0220965434883629,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
HSD17B1,骨碎补,0.0,False,,5.98,0.666892588154608,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
XDH,骨碎补,0.0,False,,5.97,0.5245195928290035,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
NOX4,骨碎补,0.0,False,,5.92,0.0,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
