target,ensembl_id,overall_association_score,genetic_association,genetic_literature,rna_expression,animal_model,known_drug
LRP5,ENSG00000162337,0.7852473691585107,0.8742248030738342,0.607930797611621,0.0,0.8817037738619451,0.0
SLC34A1,ENSG00000131183,0.7694997049225367,0.8896861778585683,0.8139517901355594,0.0,0.4959334798991251,0.0
PLS3,ENSG00000102024,0.7479704699815767,0.8014379021903634,0.7692185602432756,0.0,0.7748506140058953,0.0
TNFSF11,ENSG00000120659,0.7310068313868319,0.7586433143622748,0.0,0.0,0.464845840910426,0.0
ESR1,ENSG00000091831,0.7151185013089664,0.6531841285466375,0.0,0.0,0.6182173646267052,0.0
COL1A1,ENSG00000108821,0.702238071011831,0.9243430191153519,0.607930797611621,0.0,0.669710982277236,0.0
COL1A2,ENSG00000164692,0.6820049558393122,0.9151153706917531,0.7599134970145264,0.0,0.6099420691942055,0.0
WNT1,ENSG00000125084,0.6456073145951026,0.7255979471443891,0.607930797611621,0.0,0.0,0.0
NHERF1,ENSG00000109062,0.6437360926228046,0.7569211877829362,0.607930797611621,0.0,0.418712336855004,0.0
SOST,ENSG00000167941,0.6391121376006254,0.22702007938059407,0.0,0.0,0.6363740820057925,0.0
CALCR,ENSG00000004948,0.6284065218848808,0.3525998626147402,0.0,0.0,0.600444805317698,0.0
VDR,ENSG00000111424,0.6228905646570332,0.0,0.0,0.0,0.6575974845021673,0.0
PTH1R,ENSG00000160801,0.6168352826050348,0.0,0.0,0.0,0.3769018962492648,0.0
ESR2,ENSG00000140009,0.6133167760262854,0.0,0.0,0.0,0.0,0.0
FDPS,ENSG00000160752,0.6117856629678046,0.0,0.0,0.0,0.0,0.0
SPP1,ENSG00000118785,0.5724081652645986,0.895986569849556,0.0,0.0,0.6346831300998526,0.0
COPB2,ENSG00000184432,0.5445809174624211,0.0,0.8897742701710087,0.0,0.0,0.0
TNFRSF11A,ENSG00000141655,0.5309341999215937,0.838696615938588,0.0,0.0,0.0,0.0
AR,ENSG00000169083,0.48935523253171564,0.0,0.0,0.0,0.0,0.0
RSPO3,ENSG00000146374,0.4854537509687868,0.7942190991893504,0.0,0.0,0.0,0.0
TNFRSF11B,ENSG00000164761,0.47200529987615936,0.7171369312706517,0.0,0.0,0.7307605459402319,0.0
WNT16,ENSG00000002745,0.46408830538482654,0.7422667763657107,0.0,0.0,0.0,0.0
FAM3C,ENSG00000196937,0.4556944033448106,0.7473113942049704,0.0,0.0,0.0,0.0
SLC1A3,ENSG00000079215,0.4456522459313072,0.7330641047996616,0.0,0.0,0.0,0.0
PGR,ENSG00000082175,0.4441745404829242,0.0,0.0,0.0,0.0,0.0
SH2B3,ENSG00000111252,0.44400277310175035,0.7303508472446287,0.0,0.0,0.0,0.0
WLS,ENSG00000116729,0.44347683962016404,0.725048676128945,0.0,0.0,0.0,0.0
AQP1,ENSG00000240583,0.4305057935146686,0.7075414098937921,0.0,0.0,0.0,0.0
CCDC170,ENSG00000120262,0.42428779934764516,0.6866683341090893,0.0,0.0,0.0,0.0
CYP19A1,ENSG00000137869,0.4235226120120589,0.6825974987491401,0.0,0.0,0.0,0.0
CTNNB1,ENSG00000168036,0.41722179736464854,0.6532784217688115,0.0,0.0,0.38931888279048216,0.0
CTSK,ENSG00000143387,0.40006847783719285,0.0,0.0,0.0,0.5948238416658879,0.0
SOX6,ENSG00000110693,0.398536180192446,0.6320583859578452,0.0,0.0,0.0,0.0
JAG1,ENSG00000101384,0.39603960712878145,0.6381909603594138,0.0,0.0,0.0,0.0
LGR4,ENSG00000205213,0.3955560671702674,0.48310375025621133,0.3039653988058105,0.0,0.0,0.0
TMEM135,ENSG00000166575,0.3883815854774906,0.6376507989800981,0.0,0.0,0.0,0.0
WNT11,ENSG00000085741,0.37303953276883356,0.0,0.607930797611621,0.0,0.0,0.0
CCR1,ENSG00000163823,0.35540036691603355,0.583437194487577,0.0,0.0,0.0,0.0
IFITM5,ENSG00000206013,0.34199995802885597,0.5592963338026914,0.0,0.0,0.0,0.0
SLC34A3,ENSG00000198569,0.34100224641281335,0.5592963338026914,0.0,0.0,0.0,0.0
SEM1,ENSG00000127922,0.33977859140451033,0.5576941208228401,0.0,0.0,0.0,0.0
GHR,ENSG00000112964,0.3347751851751237,0.0,0.0,0.0,0.0,0.0
CDK9,ENSG00000136807,0.333361028925601,0.547137717850459,0.0,0.0,0.0,0.0
MIR2861,ENSG00000284547,0.3326218692162316,0.547137717850459,0.0,0.0,0.0,0.0
GALNT3,ENSG00000115339,0.3289988041163961,0.5239851398235759,0.0,0.0,0.0,0.0
ZBTB40,ENSG00000184677,0.32840408421646144,0.5095228226223285,0.0,0.0,0.5426815175560994,0.0
SLC25A13,ENSG00000004864,0.32689553943863814,0.5377183401842994,0.0,0.0,0.0,0.0
HOXC6,ENSG00000197757,0.32472694999341734,0.5341511752146342,0.0,0.0,0.0,0.0
GUCY1B1,ENSG00000061918,0.3233823728491141,0.0,0.0,0.0,0.0,0.0
GUCY1A2,ENSG00000152402,0.3233823728491141,0.0,0.0,0.0,0.0,0.0
GUCY1A1,ENSG00000164116,0.3233823728491141,0.0,0.0,0.0,0.0,0.0
CFAP97D1,ENSG00000231256,0.31833676458865906,0.5236398054504054,0.0,0.0,0.0,0.0
FGFRL1,ENSG00000127418,0.31271550137426085,0.4900599797799368,0.0,0.0,0.3246350459246057,0.0
COLEC10,ENSG00000184374,0.3051327861275696,0.5000964711081186,0.0,0.0,0.0,0.0
ALDH7A1,ENSG00000164904,0.30266773429361765,0.4910449693557685,0.0,0.0,0.0,0.0
EN1,ENSG00000163064,0.3015768517928854,0.4883277563034425,0.0,0.0,0.0,0.0
CASR,ENSG00000036828,0.2975134988775017,0.0,0.0,0.0,0.44451731051695725,0.0
CRELD2,ENSG00000184164,0.2952176129081495,0.48302685055501493,0.0,0.0,0.0,0.0
PDZRN4,ENSG00000165966,0.28930310797159947,0.4758816449309447,0.0,0.0,0.0,0.0
UGT8,ENSG00000174607,0.2888107277648558,0.47446378608119605,0.0,0.0,0.0,0.0
NFATC1,ENSG00000131196,0.28603045205786326,0.4593589819876443,0.0,0.0,0.0,0.0
FMN2,ENSG00000155816,0.2794498259730338,0.4596737442335689,0.0,0.0,0.0,0.0
DDN,ENSG00000181418,0.27660729708344206,0.45499800005222585,0.0,0.0,0.0,0.0
STK39,ENSG00000198648,0.2698200182167301,0.4188751965816267,0.0,0.0,0.47214575571938006,0.0
DPP4,ENSG00000197635,0.2697023872895011,0.0,0.0,0.0,0.0,0.0
RPS6KA5,ENSG00000100784,0.26851473934612036,0.4410784262697302,0.0,0.0,0.0,0.0
AXIN1,ENSG00000103126,0.2677079967912162,0.41124083771725395,0.0,0.0,0.41576387248658764,0.0
SRC,ENSG00000197122,0.2653043612432015,0.42555155832813474,0.0,0.0,0.0,0.0
OFD1,ENSG00000046651,0.25870589827929125,0.42555155832813474,0.0,0.0,0.0,0.0
VTI1A,ENSG00000151532,0.25866423852847287,0.4239632042073636,0.0,0.0,0.0,0.0
SP7,ENSG00000170374,0.25692233981350165,0.4011822917082619,0.0,0.0,0.309011224425987,0.0
CSMD1,ENSG00000183117,0.24787838197816317,0.4062212891856471,0.0,0.0,0.0,0.0
KAT2B,ENSG00000114166,0.24731383199315146,0.40133072879526704,0.0,0.0,0.0,0.0
QTMAN,ENSG00000121964,0.24670610858458394,0.4058128154615932,0.0,0.0,0.0,0.0
IDUA,ENSG00000127415,0.24650549407529856,0.37245556533866253,0.0,0.0,0.6417067403612923,0.0
PPP6R3,ENSG00000110075,0.24334547929728864,0.39937293927058065,0.0,0.0,0.0,0.0
CCND2,ENSG00000118971,0.24176077546898206,0.3976781180009108,0.0,0.0,0.0,0.0
TLE3,ENSG00000140332,0.23738819894253835,0.3904855616382092,0.0,0.0,0.0,0.0
WNT4,ENSG00000162552,0.23671356528726353,0.3805526167102015,0.0,0.0,0.0,0.0
STARD13,ENSG00000133121,0.23553552045975176,0.3868301154160374,0.0,0.0,0.0,0.0
SETD4,ENSG00000185917,0.22870868920231882,0.3762084271776444,0.0,0.0,0.0,0.0
SOX4,ENSG00000124766,0.2265794915078322,0.34513947047234367,0.0,0.0,0.0,0.0
HDAC5,ENSG00000108840,0.22207572951639032,0.3612120794562127,0.0,0.0,0.0,0.0
GLDN,ENSG00000186417,0.2213851964863872,0.36416183775545446,0.0,0.0,0.0,0.0
C3orf38,ENSG00000179021,0.2105193988286736,0.34628842568223484,0.0,0.0,0.0,0.0
API5,ENSG00000166181,0.20758837334953134,0.3414671113309018,0.0,0.0,0.0,0.0
