disease_signature,library,term,p_value,combined_score,overlap_genes,interpretation
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Ginsenoside-Rd Down,7.061951517147671e-10,2568.466630817987,FTO;CA2;SLC2A1;AKR1B1;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,ITSA-1 Down,6.610032599896987e-08,1349.073371653052,FTO;DPP4;PKM;CA2;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,ST-4066738 Up,6.610032599896987e-08,1349.073371653052,PKM;CA2;SLC2A1;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,MW-A1-14 Down,3.881630350990498e-06,701.2679421300994,FTO;PKM;CA2;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,TW-37 Up,4.012670872742187e-06,693.4018659569766,PKM;CA2;SLC2A1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Compound-E Down,4.146968312680285e-06,685.6839309989614,CA2;SLC2A1;AKR1B1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Aztreonam Down,4.215354658676165e-06,681.8792723295245,DPP4;PKM;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Nilvadipine Down,4.215354658676165e-06,681.8792723295245,CA2;SLC2A1;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,THZ-2-98-01 Up,4.215354658676165e-06,681.8792723295245,DPP4;PKM;CA2;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Taurodeoxycholic-Acid Down,4.215354658676165e-06,681.8792723295245,PKM;CA2;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Cyclopentanone-Oxime Down,4.28457481755327e-06,678.1101733975152,CA2;SLC2A1;AKR1B1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,RS-56812 Up,4.28457481755327e-06,678.1101733975152,FTO;PKM;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,E-7438 Down,4.28457481755327e-06,678.1101733975152,CA2;SLC2A1;AKR1B1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Enalapril Up,4.28457481755327e-06,678.1101733975152,FTO;PKM;CA2;CISD1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Iriflophenone Up,4.28457481755327e-06,678.1101733975152,PKM;CA2;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Sulfabenzamide Up,4.28457481755327e-06,678.1101733975152,DPP4;PKM;CA2;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,DL-PDMP Down,4.28457481755327e-06,678.1101733975152,CA2;SLC2A1;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Helveticoside Down,4.28457481755327e-06,678.1101733975152,FTO;PKM;CA2;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,DM-161 Down,4.28457481755327e-06,678.1101733975152,PKM;CA2;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,BI-78D3 Down,4.28457481755327e-06,678.1101733975152,FTO;DPP4;CA2;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,ZD-7155 Up,4.354635366399249e-06,674.3761601258425,FTO;PKM;SLC2A1;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Triphenylphosphine-Oxide Down,4.354635366399249e-06,674.3761601258425,DPP4;CA2;AKR1B1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Flavokavain-B Up,4.354635366399249e-06,674.3761601258425,CA2;SLC2A1;AKR1B1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,SC-144 Up,4.354635366399249e-06,674.3761601258425,PKM;CA2;SLC2A1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,AM-251 Down,4.354635366399249e-06,674.3761601258425,DPP4;PKM;CA2;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,5-Methylhydantoin Down,4.354635366399249e-06,674.3761601258425,PKM;CA2;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,KU-C103868 Up,4.425542904437184e-06,670.6767666690207,FTO;PKM;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Dienogest Up,4.425542904437184e-06,670.6767666690207,PKM;CA2;SLC2A1;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
