source,source_type,target,target_type,relation
杜仲,herb,aucubin,compound,contains
aucubin,compound,L3MBTL1,target,binds
杜仲,herb,chlorogenic acid,compound,contains
chlorogenic acid,compound,HDAC1,target,binds
杜仲,herb,chlorogenic acid,compound,contains
chlorogenic acid,compound,AKR1B1,target,binds
杜仲,herb,chlorogenic acid,compound,contains
chlorogenic acid,compound,AKR1B10,target,binds
杜仲,herb,chlorogenic acid,compound,contains
chlorogenic acid,compound,AKR1B1,target,binds
杜仲,herb,chlorogenic acid,compound,contains
chlorogenic acid,compound,PTPN1,target,binds
杜仲,herb,chlorogenic acid,compound,contains
chlorogenic acid,compound,AKR1B1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,POLB,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,POLB,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN2,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,GPBAR1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PLA2G1B,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,POLB,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,AKR1B10,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,AKR1B10,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,AKR1B10,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,AKR1B10,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,AKR1B10,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,AKR1B10,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,AKR1B10,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN2,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN2,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,CDC25B,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN2,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN2,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN2,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN2,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPRC,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,DUSP3,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN1,target,binds
牛膝,herb,oleanolic acid,compound,contains
oleanolic acid,compound,PTPN2,target,binds
牛膝,herb,oleanolic acid,compound,contains
