target,open_targets_score,genetic_association,ensembl_id,note
LRP5,0.7852473691585107,0.8742248030738342,ENSG00000162337,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SLC34A1,0.7694997049225367,0.8896861778585683,ENSG00000131183,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
PLS3,0.7479704699815767,0.8014379021903634,ENSG00000102024,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
TNFSF11,0.7310068313868319,0.7586433143622748,ENSG00000120659,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
ESR1,0.7151185013089664,0.6531841285466375,ENSG00000091831,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
COL1A1,0.702238071011831,0.9243430191153519,ENSG00000108821,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
COL1A2,0.6820049558393122,0.9151153706917531,ENSG00000164692,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
WNT1,0.6456073145951026,0.7255979471443891,ENSG00000125084,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
NHERF1,0.6437360926228046,0.7569211877829362,ENSG00000109062,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SOST,0.6391121376006254,0.22702007938059407,ENSG00000167941,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CALCR,0.6284065218848808,0.3525998626147402,ENSG00000004948,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
VDR,0.6228905646570332,0.0,ENSG00000111424,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
PTH1R,0.6168352826050348,0.0,ENSG00000160801,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
ESR2,0.6133167760262854,0.0,ENSG00000140009,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FDPS,0.6117856629678046,0.0,ENSG00000160752,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SPP1,0.5724081652645986,0.895986569849556,ENSG00000118785,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
COPB2,0.5445809174624211,0.0,ENSG00000184432,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
TNFRSF11A,0.5309341999215937,0.838696615938588,ENSG00000141655,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
AR,0.48935523253171564,0.0,ENSG00000169083,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
RSPO3,0.4854537509687868,0.7942190991893504,ENSG00000146374,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
TNFRSF11B,0.47200529987615936,0.7171369312706517,ENSG00000164761,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
WNT16,0.46408830538482654,0.7422667763657107,ENSG00000002745,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FAM3C,0.4556944033448106,0.7473113942049704,ENSG00000196937,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
