predicted_target,via_experimental_target,string_score,evidence_type,in_osteoporosis_module
CTNNB1,AHR,0.457,predicted_STRING_neighbour_of_experimental_target,True
ESR1,AHR,0.457,predicted_STRING_neighbour_of_experimental_target,True
CBR1,AKR1B1,0.9,predicted_STRING_neighbour_of_experimental_target,True
CBR1,AKR1B10,0.9,predicted_STRING_neighbour_of_experimental_target,True
KAT2B,AR,0.457,predicted_STRING_neighbour_of_experimental_target,True
PGR,AR,0.675,predicted_STRING_neighbour_of_experimental_target,True
SRC,AR,0.924,predicted_STRING_neighbour_of_experimental_target,True
CTNNB1,AR,0.947,predicted_STRING_neighbour_of_experimental_target,True
ESR1,AR,0.967,predicted_STRING_neighbour_of_experimental_target,True
ESR1,ESRRA,0.728,predicted_STRING_neighbour_of_experimental_target,True
COLEC10,F3,0.54,predicted_STRING_neighbour_of_experimental_target,True
SRC,FLT3,0.417,predicted_STRING_neighbour_of_experimental_target,True
SH2B3,FLT3,0.499,predicted_STRING_neighbour_of_experimental_target,True
OFD1,HDAC6,0.631,predicted_STRING_neighbour_of_experimental_target,True
CTNNB1,HDAC6,0.457,predicted_STRING_neighbour_of_experimental_target,True
KAT2B,HIF1A,0.457,predicted_STRING_neighbour_of_experimental_target,True
PGR,HIF1A,0.4,predicted_STRING_neighbour_of_experimental_target,True
SRC,HIF1A,0.457,predicted_STRING_neighbour_of_experimental_target,True
ESR1,HIF1A,0.766,predicted_STRING_neighbour_of_experimental_target,True
CASR,HIF1A,0.457,predicted_STRING_neighbour_of_experimental_target,True
CTNNB1,HIF1A,0.975,predicted_STRING_neighbour_of_experimental_target,True
CTNNB1,LMNA,0.408,predicted_STRING_neighbour_of_experimental_target,True
SRC,NOX4,0.409,predicted_STRING_neighbour_of_experimental_target,True
CTNNB1,PKM,0.985,predicted_STRING_neighbour_of_experimental_target,True
CTNNB1,PTPN1,0.482,predicted_STRING_neighbour_of_experimental_target,True
SRC,PTPN1,0.539,predicted_STRING_neighbour_of_experimental_target,True
GHR,PTPN1,0.63,predicted_STRING_neighbour_of_experimental_target,True
KAT2B,RELA,0.524,predicted_STRING_neighbour_of_experimental_target,True
PGR,RELA,0.616,predicted_STRING_neighbour_of_experimental_target,True
ESR2,RELA,0.465,predicted_STRING_neighbour_of_experimental_target,True
CDK9,RELA,0.712,predicted_STRING_neighbour_of_experimental_target,True
IL6,RELA,0.432,predicted_STRING_neighbour_of_experimental_target,True
RPS6KA5,RELA,0.542,predicted_STRING_neighbour_of_experimental_target,True
CTNNB1,RELA,0.818,predicted_STRING_neighbour_of_experimental_target,True
ESR1,RELA,0.894,predicted_STRING_neighbour_of_experimental_target,True
ESR1,RPS6KA3,0.496,predicted_STRING_neighbour_of_experimental_target,True
AQP1,SLC2A1,0.431,predicted_STRING_neighbour_of_experimental_target,True
AXIN1,TP53,0.59,predicted_STRING_neighbour_of_experimental_target,True
KAT2B,TP53,0.812,predicted_STRING_neighbour_of_experimental_target,True
ESR2,TP53,0.497,predicted_STRING_neighbour_of_experimental_target,True
SRC,TP53,0.556,predicted_STRING_neighbour_of_experimental_target,True
CDK9,TP53,0.588,predicted_STRING_neighbour_of_experimental_target,True
ESR1,TP53,0.841,predicted_STRING_neighbour_of_experimental_target,True
ETS2,TP53,0.918,predicted_STRING_neighbour_of_experimental_target,True
SRC,YES1,0.972,predicted_STRING_neighbour_of_experimental_target,True
