target,herbs,max_pchembl,pharmacology_evidence,ot_genetic_association,ot_overall_score_context_only,gwas_catalog_bone_gene,human_genetics_evidence,curated_marker_overlap,gse224152_max_pct_detected,expression_context,gse246769_paired_delta_d9_vs_d0,gse246769_paired_fdr_d9_vs_d0,n_independent_axes,preliminary_priority_tier,causal_status,direction
AHR,骨碎补,7.55,True,0.0,0.0,False,False,False,0.0425531914893617,True,-2.796628427438935,0.0061023053304886,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
CYP1B1,骨碎补,7.37,True,0.0,0.0,False,False,False,0.081967213114754,True,0.4786094977508931,0.7457086706752666,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
L3MBTL1,杜仲,7.2,True,0.0,0.0,False,False,False,0.0192307692307692,True,-0.0234171997879859,0.9812505097847428,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
FUNDC1,牛膝,7.14,True,0.0,0.0794630421999956,False,False,False,0.1393442622950819,True,1.4151481782582822,0.0102398663195818,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
CES1,牛膝,7.0,True,0.0,0.0,False,False,False,0.0163934426229508,True,-4.290111606087074,0.0102398663195818,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
PTPN1,杜仲;牛膝,7.0,True,0.0,0.0,False,False,False,0.0606060606060606,True,0.3130878379248815,0.3160542578605642,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
CISD1,骨碎补,6.88,True,0.0,0.0,False,False,False,0.1969696969696969,True,3.138247400336569,0.0011639219485124,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
AKR1B1,杜仲;骨碎补,6.52,True,0.0,0.0,False,False,False,0.1101694915254237,True,1.4388096559173325,0.0061023053304886,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
PKM,骨碎补,6.19,True,0.0,0.0,False,False,False,0.2033898305084746,True,1.838126354146772,0.0056780326688642,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
PTPN2,牛膝,6.16,True,0.0,0.0,False,False,False,0.1147540983606557,True,-1.2844852158188809,0.0141779936491805,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
CDC25B,牛膝,6.01,True,0.0,0.0,False,False,False,0.0851063829787234,True,0.4398200783273321,0.1904691935435513,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
PTPRC,牛膝,6.0,True,0.0,0.0,False,False,False,0.2796610169491525,True,-0.7344769803152452,0.0592870204245882,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
FTO,骨碎补,5.55,False,0.0,0.0,True,True,False,0.0576923076923076,True,2.472146115987655,0.001407550708246,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
LMNA,骨碎补,5.45,False,0.0,0.0,True,True,False,0.5819672131147541,True,-0.3539206049418378,0.5051742003135843,2,prelim_2_genetics_or_multi_omics,NOT_established_requires_finemap_coloc_MR,not_inferred_requires_MoA_and_MR
