module,size,support_n,expected_n,lift_vs_independence,perm_p,items,fdr,contains_core
杜仲–牛膝,2,24,2.8464730290456433,8.431486880466473,0.004975124378109453,"('杜仲', '牛膝')",0.004975124378109453,True
牛膝–续断,2,10,1.3360995850622406,7.484472049689441,0.004975124378109453,"('牛膝', '续断')",0.004975124378109453,True
杜仲–骨碎补,2,10,2.338174273858921,4.276841171251109,0.004975124378109453,"('杜仲', '骨碎补')",0.004975124378109453,True
滋肾丸–肾气丸–茴香丸,3,10,0.0034090322136326842,2933.3838383838392,0.004975124378109453,"('滋肾丸', '肾气丸', '茴香丸')",0.004975124378109453,False
六味地黄丸–肾气丸–茴香丸,3,11,0.0068180644272653685,1613.3611111111118,0.004975124378109453,"('六味地黄丸', '肾气丸', '茴香丸')",0.004975124378109453,False
六味地黄丸–滋肾丸–肾气丸,3,10,0.006818064427265369,1466.6919191919194,0.004975124378109453,"('六味地黄丸', '滋肾丸', '肾气丸')",0.004975124378109453,False
乳香–没药–自然铜,3,12,0.05741120159776863,209.01844354475935,0.004975124378109453,"('乳香', '没药', '自然铜')",0.004975124378109453,False
乳香–没药–骨碎补,3,11,0.06771577624352197,162.44368166793797,0.004975124378109453,"('乳香', '没药', '骨碎补')",0.004975124378109453,False
滋肾丸–茴香丸,2,10,0.14937759336099585,66.94444444444444,0.004975124378109453,"('滋肾丸', '茴香丸')",0.004975124378109453,False
肾气丸–茴香丸,2,12,0.27385892116182564,43.818181818181834,0.004975124378109453,"('肾气丸', '茴香丸')",0.004975124378109453,False
封髓丹–肾气丸,2,10,0.22821576763485474,43.81818181818183,0.004975124378109453,"('封髓丹', '肾气丸')",0.004975124378109453,False
滋肾丸–肾气丸,2,11,0.27385892116182564,40.16666666666668,0.004975124378109453,"('滋肾丸', '肾气丸')",0.004975124378109453,False
六味地黄丸–茴香丸,2,11,0.2987551867219917,36.81944444444444,0.004975124378109453,"('六味地黄丸', '茴香丸')",0.004975124378109453,False
知母–黄柏,2,16,0.45331950207468874,35.29519450800916,0.004975124378109453,"('知母', '黄柏')",0.004975124378109453,False
六味地黄丸–滋肾丸,2,10,0.2987551867219917,33.47222222222222,0.004975124378109453,"('六味地黄丸', '滋肾丸')",0.004975124378109453,False
六味地黄丸–肾气丸,2,16,0.5477178423236513,29.21212121212122,0.004975124378109453,"('六味地黄丸', '肾气丸')",0.004975124378109453,False
煨肾丸–金刚丸,2,11,0.3983402489626556,27.614583333333336,0.004975124378109453,"('煨肾丸', '金刚丸')",0.004975124378109453,False
杜仲–萆薢,2,10,0.508298755186722,19.6734693877551,0.004975124378109453,"('杜仲', '萆薢')",0.004975124378109453,False
乳香–没药,2,25,1.4190871369294604,17.61695906432749,0.004975124378109453,"('乳香', '没药')",0.004975124378109453,False
当归–黄芪,2,10,0.7780082987551868,12.853333333333332,0.004975124378109453,"('当归', '黄芪')",0.004975124378109453,False
牛膝丸–金刚丸,2,12,0.9626556016597511,12.46551724137931,0.004975124378109453,"('牛膝丸', '金刚丸')",0.004975124378109453,False
熟地–牛膝,2,11,1.045643153526971,10.519841269841269,0.004975124378109453,"('熟地', '牛膝')",0.004975124378109453,False
没药–自然铜,2,15,1.4564315352697097,10.299145299145298,0.004975124378109453,"('没药', '自然铜')",0.004975124378109453,False
乳香–自然铜,2,15,1.537344398340249,9.757085020242915,0.004975124378109453,"('乳香', '自然铜')",0.004975124378109453,False
乳香–骨碎补,2,13,1.813278008298755,7.16933638443936,0.004975124378109453,"('乳香', '骨碎补')",0.004975124378109453,False
牛膝–虎骨,2,13,1.9170124481327804,6.781385281385281,0.004975124378109453,"('牛膝', '虎骨')",0.004975124378109453,False
当归–牛膝,2,19,2.9045643153526974,6.541428571428571,0.004975124378109453,"('当归', '牛膝')",0.004975124378109453,False
没药–骨碎补,2,11,1.7178423236514522,6.403381642512078,0.004975124378109453,"('没药', '骨碎补')",0.004975124378109453,False
牛膝–鹿茸,2,11,1.800829875518672,6.1082949308755765,0.004975124378109453,"('牛膝', '鹿茸')",0.004975124378109453,False
自然铜–骨碎补,2,10,1.8609958506224067,5.373467112597547,0.004975124378109453,"('自然铜', '骨碎补')",0.004975124378109453,False
乳香–当归,2,10,1.9709543568464731,5.073684210526316,0.004975124378109453,"('乳香', '当归')",0.004975124378109453,False
